City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,berga,60.392,5.328,48.87,87,40,2.3,NO,1699284515
300,bam,29.106,58.357,69.08,44,63,6.78,IR,1699284515
301,jha-jha,24.7667,86.3667,72.63,41,1,2.75,IN,1699284515
302,okhotsk,59.3833,143.3,1.6,83,0,19.71,RU,1699284516
303,reggane,26.7158,0.1714,97.18,7,30,13.31,DZ,1699284516
304,oyem,1.5995,11.5793,75.97,91,91,3.04,GA,1699284516
305,palikir - national government center,6.9248,158.1611,79.54,89,40,4.61,FM,1699284516
306,tahlequah,35.9154,-94.97,71.82,37,0,10.36,US,1699284278
307,songkhla,6.8333,100.6667,80.65,93,78,2.3,TH,1699284517
308,angaur state,6.906,134.13,82.65,73,7,1.92,PW,1699284261
309,uaua,-9.8414,-39.4817,90.77,40,93,10.29,BR,1699284517
310,larbaa,36.5647,3.1543,68.85,52,75,12.66,DZ,1699284518
311,taroa,8.7058,171.2275,82.56,75,97,20.47,MH,1699284518
312,atafu village,-8.5421,-172.5159,82.29,77,100,7.67,TK,1699284385
313,galveston,29.3669,-94.9669,77.14,84,0,8.05,US,1699284385
314,zahedan,29.4963,60.8629,58.91,77,20,4.61,IR,1699284519
315,antofagasta,-23.65,-70.4,65.48,63,29,8.55,CL,1699284519
316,shahpura,27.3833,75.9667,79.2,27,92,3.96,IN,1699284519
317,zamosc,50.7231,23.252,50.61,71,55,16.53,PL,1699284519
318,chui,-33.6971,-53.4616,70.05,58,0,9.37,UY,1699284520
319,callaway,30.153,-85.5699,73.94,51,7,1.01,US,1699284520
320,yingkou,40.6648,122.2283,26.47,71,76,11.77,CN,1699284520
321,noumea,-22.2763,166.4572,64.38,78,49,8.01,NC,1699284479
322,uttarkashi,30.7333,78.45,57.36,67,13,4.32,IN,1699284521
323,plymouth,41.8334,-70.8328,52.05,71,100,8.05,US,1699284521
324,souillac,-20.5167,57.5167,73.78,94,75,11.5,MU,1699284521
325,taoudenni,22.6783,-3.9836,97.14,10,1,4.94,ML,1699284522
326,moapa valley,36.5805,-114.4703,61.72,20,100,1.07,US,1699284522
327,cabeza del buey,38.7223,-5.2195,56.26,49,4,9.35,ES,1699284523
328,linares,-35.85,-71.6,61.3,71,100,3.91,CL,1699284523
329,aldinga beach,-35.2793,138.4604,60.76,92,41,8.46,AU,1699284524
330,lycksele,64.5954,18.6735,31.87,93,100,0.0,SE,1699284524
331,imbituba,-28.24,-48.6703,70.56,60,35,10.07,BR,1699284524
332,ungsang-nodongjagu,42.3578,130.4622,39.47,70,100,13.0,KP,1699284524
333,kabalo,-6.05,26.9167,70.39,98,100,2.73,CD,1699284525
334,al qusiyah,27.4402,30.8184,86.2,12,0,9.48,EG,1699284525
335,rio grande,-32.035,-52.0986,77.11,64,0,13.31,BR,1699284525
336,kloulklubed,7.0419,134.2556,77.5,76,10,1.72,PW,1699284525
337,whitby,54.4877,-0.615,50.31,86,26,1.99,GB,1699284525
338,harper,4.375,-7.7169,82.24,78,41,8.34,LR,1699284526
339,sumbe,-11.2061,13.8437,81.18,76,92,8.81,AO,1699284526
340,sheboygan,43.7333,-87.9334,60.58,69,75,17.27,US,1699284526
341,klyuchi,52.2667,79.1667,29.34,74,96,9.13,RU,1699284526
342,fort mcmurray,56.7268,-111.381,26.19,93,100,9.22,CA,1699284527
343,olbernhau,50.6667,13.3333,52.48,71,7,12.33,DE,1699284527
344,kone,-21.0595,164.8658,69.42,79,100,5.77,NC,1699284527
345,lorengau,-2.0226,147.2712,81.25,82,67,4.9,PG,1699284527
346,hue,16.4667,107.6,80.71,94,75,1.14,VN,1699284528
347,labytnangi,66.6572,66.4183,21.2,96,100,5.75,RU,1699284528
348,verkhnevilyuysk,63.4453,120.3167,9.16,98,99,2.06,RU,1699284528
349,sittwe,20.15,92.9,78.96,73,69,8.57,MM,1699284528
350,bemidji,47.4736,-94.8803,35.06,100,100,11.5,US,1699284395
351,san jose del guaviare,2.5729,-72.6459,81.43,75,100,5.23,CO,1699284529
352,orthez,43.4884,-0.7724,54.88,69,6,12.57,FR,1699284336
353,kavali,14.9167,79.9833,78.26,85,99,5.66,IN,1699284529
354,byron bay,-28.65,153.6167,59.7,81,33,3.58,AU,1699284529
355,san luis de la loma,17.2706,-100.8939,81.79,73,11,1.12,MX,1699284530
356,beitbridge,-22.2167,30.0,97.72,18,34,13.49,ZW,1699284530
357,kapa'a,22.0752,-159.319,77.32,90,100,14.97,US,1699284530
358,dubbo,-32.25,148.6167,59.13,77,35,8.05,AU,1699284530
359,kapuskasing,49.4169,-82.4331,26.69,93,100,11.5,CA,1699284531
360,mammoth lakes,37.6485,-118.9721,43.52,76,75,34.52,US,1699284478
361,cabo san lucas,22.8909,-109.9124,83.75,71,100,5.01,MX,1699284385
362,qamdo,31.1667,97.2333,28.2,33,3,2.8,CN,1699284531
